"","Competition_Name","Gender","Country","Season_End_Year","Round","Wk","Day","Date","Time","Home","HomeGoals","Home_xG","Away","AwayGoals","Away_xG","Attendance","Venue","Referee","Notes","MatchURL"
"1","Serie A","M","ITA",2019,NA,"1","Sat",17761,"18:00","Chievo",2,1.1,"Juventus",3,3.1,29500,"Stadio Marc'Antonio Bentegodi","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/2758c0c0/Chievo-Juventus-August-18-2018-Serie-A"
"2","Serie A","M","ITA",2019,NA,"1","Sat",17761,"20:30","Lazio",1,1,"Napoli",2,1.4,32000,"Stadio Olimpico","Luca Banti",NA,"https://fbref.com/en/matches/34947288/Lazio-Napoli-August-18-2018-Serie-A"
"3","Serie A","M","ITA",2019,NA,"1","Sun",17762,"18:00","Torino",0,0.6,"Roma",1,1.2,18000,"Stadio Olimpico di Torino","Marco Di Bello",NA,"https://fbref.com/en/matches/bf8bed12/Torino-Roma-August-19-2018-Serie-A"
"4","Serie A","M","ITA",2019,NA,"1","Sun",17762,"20:30","Sassuolo",1,1.5,"Inter",0,1.1,19104,"Stadio Città del Tricolore","Maurizio Mariani",NA,"https://fbref.com/en/matches/359379e6/Sassuolo-Internazionale-August-19-2018-Serie-A"
"5","Serie A","M","ITA",2019,NA,"1","Sun",17762,"20:30","Empoli",2,1.3,"Cagliari",0,0.9,7335,"Stadio Carlo Castellani","Daniele Chiffi",NA,"https://fbref.com/en/matches/4df38742/Empoli-Cagliari-August-19-2018-Serie-A"
"6","Serie A","M","ITA",2019,NA,"1","Sun",17762,"20:30","Parma",2,1.5,"Udinese",2,1.9,13141,"Stadio Ennio Tardini","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/52018b4a/Parma-Udinese-August-19-2018-Serie-A"
"7","Serie A","M","ITA",2019,NA,"1","Sun",17762,"20:30","Bologna",0,1,"SPAL",1,0.6,21158,"Stadio Renato Dall'Ara","Piero Giacomelli",NA,"https://fbref.com/en/matches/76ad12fa/Bologna-SPAL-August-19-2018-Serie-A"
"8","Serie A","M","ITA",2019,NA,"1","Mon",17763,"20:30","Atalanta",4,2.2,"Frosinone",0,0.3,18217,"Stadio Atleti Azzurri d'Italia","Marco Piccinini",NA,"https://fbref.com/en/matches/3c6aced5/Atalanta-Frosinone-August-20-2018-Serie-A"
"9","Serie A","M","ITA",2019,NA,"1","Wed",17793,"19:00","Sampdoria",1,0.5,"Fiorentina",1,1.4,18334,"Stadio Comunale Luigi Ferraris","Fabio Maresca",NA,"https://fbref.com/en/matches/55a722ce/Sampdoria-Fiorentina-September-19-2018-Serie-A"
"10","Serie A","M","ITA",2019,NA,"1","Wed",17835,"20:30","Milan",2,1.4,"Genoa",1,0.4,46720,"Stadio Giuseppe Meazza","Fabrizio Pasqua",NA,"https://fbref.com/en/matches/7a546b8c/Milan-Genoa-October-31-2018-Serie-A"
"11","Serie A","M","ITA",2019,NA,"10","Sat",17831,"15:00","Atalanta",3,3.3,"Parma",0,0.9,18152,"Stadio Atleti Azzurri d'Italia","Rosario Abisso",NA,"https://fbref.com/en/matches/1048f3fb/Atalanta-Parma-October-27-2018-Serie-A"
"12","Serie A","M","ITA",2019,NA,"10","Sat",17831,"18:00","Empoli",1,0.3,"Juventus",2,1.7,15889,"Stadio Carlo Castellani","Giampaolo Calvarese",NA,"https://fbref.com/en/matches/8fe69070/Empoli-Juventus-October-27-2018-Serie-A"
"13","Serie A","M","ITA",2019,NA,"10","Sat",17831,"20:30","Torino",1,0.9,"Fiorentina",1,1.2,17871,"Stadio Olimpico di Torino","Michael Fabbri",NA,"https://fbref.com/en/matches/e12deac7/Torino-Fiorentina-October-27-2018-Serie-A"
"14","Serie A","M","ITA",2019,NA,"10","Sun",17832,"12:30","Sassuolo",2,2.2,"Bologna",2,1.3,12647,"Stadio Città del Tricolore","Daniele Doveri",NA,"https://fbref.com/en/matches/d335a746/Sassuolo-Bologna-October-28-2018-Serie-A"
"15","Serie A","M","ITA",2019,NA,"10","Sun",17832,"15:00","SPAL",0,0.9,"Frosinone",3,1,13676,"Stadio Paolo Mazza","Daniele Chiffi",NA,"https://fbref.com/en/matches/86b4e007/SPAL-Frosinone-October-28-2018-Serie-A"
"16","Serie A","M","ITA",2019,NA,"10","Sun",17832,"15:00","Genoa",2,1.7,"Udinese",2,0.5,18880,"Stadio Comunale Luigi Ferraris","Paolo Mazzoleni",NA,"https://fbref.com/en/matches/bc7cf1b6/Genoa-Udinese-October-28-2018-Serie-A"
"17","Serie A","M","ITA",2019,NA,"10","Sun",17832,"15:00","Cagliari",2,1.5,"Chievo",1,1.2,15805,"Sardegna Arena","Marco Piccinini",NA,"https://fbref.com/en/matches/e6163c2a/Cagliari-Chievo-October-28-2018-Serie-A"
"18","Serie A","M","ITA",2019,NA,"10","Sun",17832,"18:00","Milan",3,2,"Sampdoria",2,0.6,47347,"Stadio Giuseppe Meazza","Fabio Maresca",NA,"https://fbref.com/en/matches/e941f340/Milan-Sampdoria-October-28-2018-Serie-A"
"19","Serie A","M","ITA",2019,NA,"10","Sun",17832,"20:30","Napoli",1,2.1,"Roma",1,0.6,30037,"Stadio San Paolo","Davide Massa",NA,"https://fbref.com/en/matches/cd2f642f/Derby-del-Sole-Napoli-Roma-October-28-2018-Serie-A"
"20","Serie A","M","ITA",2019,NA,"10","Mon",17833,"20:30","Lazio",0,1.4,"Inter",3,1.9,40068,"Stadio Olimpico","Massimiliano Irrati",NA,"https://fbref.com/en/matches/3d9c6a02/Lazio-Internazionale-October-29-2018-Serie-A"
"21","Serie A","M","ITA",2019,NA,"11","Fri",17837,"20:30","Napoli",5,2,"Empoli",1,1.2,31370,"Stadio San Paolo","Luca Pairetto",NA,"https://fbref.com/en/matches/aef9f881/Napoli-Empoli-November-2-2018-Serie-A"
"22","Serie A","M","ITA",2019,NA,"11","Sat",17838,"15:00","Inter",5,2.9,"Genoa",0,0.4,67532,"Stadio Giuseppe Meazza","Paolo Valeri",NA,"https://fbref.com/en/matches/7e11d375/Internazionale-Genoa-November-3-2018-Serie-A"
"23","Serie A","M","ITA",2019,NA,"11","Sat",17838,"18:00","Fiorentina",1,1.3,"Roma",1,1.6,30590,"Stadio Artemio Franchi","Luca Banti",NA,"https://fbref.com/en/matches/88a737bc/Fiorentina-Roma-November-3-2018-Serie-A"
