"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"364",364,"45262-TB@DAL","2023-12-02","Tampa Bay Lightning","Dallas Stars",0,6,0,2,1,0,0,0,0,0
"365",365,"45262-VAN@CGY","2023-12-02","Vancouver Canucks","Calgary Flames",4,1,0,2,0,0,0,0,0,0
"366",366,"45262-WSH@VGS","2023-12-02","Washington Capitals","Vegas Golden Knights",1,3,0,1,0,0,0,0,0,0
"367",367,"45263-CBJ@BOS","2023-12-03","Columbus Blue Jackets","Boston Bruins",1,1,0,2,0,0,0,0,0,0
"368",368,"45263-CHI@MIN","2023-12-03","Chicago Blackhawks","Minnesota Wild",0,2,0,2,1,0,0,0,0,0
"369",369,"45263-COL@LA","2023-12-03","Colorado Avalanche","Los Angeles Kings",1,4,0,0,0,0,0,0,0,0
"370",370,"45263-NSH@BUF","2023-12-03","Nashville Predators","Buffalo Sabres",2,1,0,0,0,0,0,0,0,0
"371",371,"45263-SJ@NYR","2023-12-03","San Jose Sharks","New York Rangers",4,5,0,1,1,0,0,0,0,0
"372",372,"45264-CAR@WPG","2023-12-04","Carolina Hurricanes","Winnipeg Jets",1,2,0,0,0,0,0,0,0,0
"373",373,"45264-DAL@TB","2023-12-04","Dallas Stars","Tampa Bay Lightning",0,3,0,1,0,0,0,0,0,0
"374",374,"45264-PIT@PHI","2023-12-04","Pittsburgh Penguins","Philadelphia Flyers",1,1,0,0,0,0,0,1,0,0
"375",375,"45264-SEA@MTL","2023-12-04","Seattle Kraken","Montreal Canadiens",1,3,0,1,1,0,0,0,0,0
"376",376,"45264-STL@VGS","2023-12-04","St. Louis Blues","Vegas Golden Knights",1,0,0,1,0,0,1,0,0,0
"377",377,"45264-WSH@ARI","2023-12-04","Washington Capitals","Arizona Coyotes",0,3,0,2,0,1,0,0,0,0
"378",378,"45265-ANA@COL","2023-12-05","Anaheim Ducks","Colorado Avalanche",0,3,1,0,1,0,0,0,0,0
"379",379,"45265-DET@BUF","2023-12-05","Detroit Red Wings","Buffalo Sabres",3,1,1,2,1,0,0,0,0,0
"380",380,"45265-LA@CBJ","2023-12-05","Los Angeles Kings","Columbus Blue Jackets",3,2,0,1,0,0,1,0,0,0
"381",381,"45265-MIN@CGY","2023-12-05","Minnesota Wild","Calgary Flames",4,2,0,0,1,0,0,0,0,0
"382",382,"45265-NJ@VAN","2023-12-05","New Jersey Devils","Vancouver Canucks",5,4,0,1,1,0,0,0,0,0
"383",383,"45265-NSH@CHI","2023-12-05","Nashville Predators","Chicago Blackhawks",2,3,0,0,1,0,0,0,1,0
"384",384,"45265-NYR@OTT","2023-12-05","New York Rangers","Ottawa Senators",1,6,0,0,1,0,0,0,0,0
"385",385,"45265-SJ@NYI","2023-12-05","San Jose Sharks","New York Islanders",4,1,0,2,0,1,1,0,0,0
"386",386,"45266-CAR@EDM","2023-12-06","Carolina Hurricanes","Edmonton Oilers",1,6,0,0,0,0,0,0,0,0
"387",387,"45266-DAL@FLA","2023-12-06","Dallas Stars","Florida Panthers",2,4,0,1,2,0,0,0,0,0
"388",388,"45266-PIT@TB","2023-12-06","Pittsburgh Penguins","Tampa Bay Lightning",1,1,0,2,0,0,0,0,0,0
"389",389,"45266-VGS@STL","2023-12-06","Vegas Golden Knights","St. Louis Blues",4,3,0,0,2,0,0,0,0,0
"390",390,"45267-ANA@CHI","2023-12-07","Anaheim Ducks","Chicago Blackhawks",0,0,0,1,0,0,0,0,0,0
"391",391,"45267-BUF@BOS","2023-12-07","Buffalo Sabres","Boston Bruins",3,1,0,0,0,0,0,0,0,0
"392",392,"45267-CAR@CGY","2023-12-07","Carolina Hurricanes","Calgary Flames",2,2,0,0,0,1,0,0,0,0
"393",393,"45267-CBJ@NYI","2023-12-07","Columbus Blue Jackets","New York Islanders",3,6,0,1,0,0,0,0,0,0
"394",394,"45267-DAL@WSH","2023-12-07","Dallas Stars","Washington Capitals",3,3,0,1,1,0,0,0,1,0
"395",395,"45267-LA@MTL","2023-12-07","Los Angeles Kings","Montreal Canadiens",3,0,0,0,1,0,0,0,0,0
"396",396,"45267-MIN@VAN","2023-12-07","Minnesota Wild","Vancouver Canucks",0,2,0,0,0,0,0,0,0,0
"397",397,"45267-NJ@SEA","2023-12-07","New Jersey Devils","Seattle Kraken",2,1,0,0,0,0,0,0,0,0
"398",398,"45267-PHI@ARI","2023-12-07","Philadelphia Flyers","Arizona Coyotes",3,1,1,0,0,0,0,0,0,0
"399",399,"45267-SJ@DET","2023-12-07","San Jose Sharks","Detroit Red Wings",3,5,2,0,0,0,1,0,0,0
"400",400,"45267-TB@NSH","2023-12-07","Tampa Bay Lightning","Nashville Predators",1,3,0,2,0,0,0,0,0,0
"401",401,"45267-TOR@OTT","2023-12-07","Toronto Maple Leafs","Ottawa Senators",4,3,0,0,0,0,0,0,0,0
"402",402,"45267-WPG@COL","2023-12-07","Winnipeg Jets","Colorado Avalanche",4,2,0,0,0,0,0,0,0,0
"403",403,"45268-MIN@EDM","2023-12-08","Minnesota Wild","Edmonton Oilers",3,2,0,2,0,0,0,0,0,0
"404",404,"45268-PIT@FLA","2023-12-08","Pittsburgh Penguins","Florida Panthers",1,3,0,0,0,0,0,0,0,0
"405",405,"45268-STL@CBJ","2023-12-08","St. Louis Blues","Columbus Blue Jackets",2,4,0,1,0,0,0,0,0,0
"406",406,"45269-ARI@BOS","2023-12-09","Arizona Coyotes","Boston Bruins",3,4,0,1,0,0,0,0,0,0
"407",407,"45269-CAR@VAN","2023-12-09","Carolina Hurricanes","Vancouver Canucks",2,4,0,0,1,0,0,0,0,0
"408",408,"45269-LA@NYI","2023-12-09","Los Angeles Kings","New York Islanders",1,2,0,0,1,0,0,1,0,0
"409",409,"45269-MTL@BUF","2023-12-09","Montreal Canadiens","Buffalo Sabres",1,2,0,0,1,0,0,0,1,0
"410",410,"45269-NJ@CGY","2023-12-09","New Jersey Devils","Calgary Flames",4,1,0,0,0,1,0,0,0,0
"411",411,"45269-NSH@TOR","2023-12-09","Nashville Predators","Toronto Maple Leafs",0,2,0,1,0,1,0,0,0,0
"412",412,"45269-NYR@WSH","2023-12-09","New York Rangers","Washington Capitals",0,4,0,0,0,0,0,0,0,0
"413",413,"45269-OTT@DET","2023-12-09","Ottawa Senators","Detroit Red Wings",3,0,0,1,2,0,0,0,0,0
"414",414,"45269-PHI@COL","2023-12-09","Philadelphia Flyers","Colorado Avalanche",5,2,0,0,0,0,0,0,0,0
"415",415,"45269-STL@CHI","2023-12-09","St. Louis Blues","Chicago Blackhawks",0,3,1,0,0,0,0,0,0,0
"416",416,"45269-TB@SEA","2023-12-09","Tampa Bay Lightning","Seattle Kraken",3,2,0,1,0,0,1,0,0,0
"417",417,"45269-VGS@DAL","2023-12-09","Vegas Golden Knights","Dallas Stars",6,1,0,0,0,0,0,0,0,0
"418",418,"45270-FLA@CBJ","2023-12-10","Florida Panthers","Columbus Blue Jackets",4,2,0,0,1,0,0,0,0,0
"419",419,"45270-LA@NYR","2023-12-10","Los Angeles Kings","New York Rangers",0,2,0,2,1,0,0,0,0,0
"420",420,"45270-MIN@SEA","2023-12-10","Minnesota Wild","Seattle Kraken",3,0,0,0,0,0,0,0,0,0
"421",421,"45270-NJ@EDM","2023-12-10","New Jersey Devils","Edmonton Oilers",1,3,0,1,0,0,0,0,0,0
"422",422,"45270-NSH@MTL","2023-12-10","Nashville Predators","Montreal Canadiens",1,1,0,0,1,0,0,0,0,0
"423",423,"45270-SJ@VGS","2023-12-10","San Jose Sharks","Vegas Golden Knights",3,3,0,1,1,0,0,0,0,1
"424",424,"45270-WPG@ANA","2023-12-10","Winnipeg Jets","Anaheim Ducks",4,1,0,1,0,0,0,0,0,0
"425",425,"45270-WSH@CHI","2023-12-10","Washington Capitals","Chicago Blackhawks",4,2,0,0,0,0,0,0,0,0
"426",426,"45271-ARI@BUF","2023-12-11","Arizona Coyotes","Buffalo Sabres",1,5,1,0,0,0,0,0,0,0
"427",427,"45271-CGY@COL","2023-12-11","Calgary Flames","Colorado Avalanche",5,5,0,1,0,0,0,0,0,0
"428",428,"45271-DET@DAL","2023-12-11","Detroit Red Wings","Dallas Stars",2,4,0,2,1,0,0,0,0,0
"429",429,"45271-TOR@NYI","2023-12-11","Toronto Maple Leafs","New York Islanders",2,3,0,0,1,0,0,1,0,0
"430",430,"45272-ARI@PIT","2023-12-12","Arizona Coyotes","Pittsburgh Penguins",0,1,0,2,2,1,0,0,0,0
"431",431,"45272-CAR@OTT","2023-12-12","Carolina Hurricanes","Ottawa Senators",2,1,0,0,2,0,0,0,0,0
"432",432,"45272-CGY@VGS","2023-12-12","Calgary Flames","Vegas Golden Knights",4,2,0,2,0,0,0,1,0,0
"433",433,"45272-CHI@EDM","2023-12-12","Chicago Blackhawks","Edmonton Oilers",1,3,0,1,0,0,0,0,0,0
"434",434,"45272-DET@STL","2023-12-12","Detroit Red Wings","St. Louis Blues",4,3,1,0,1,1,0,0,0,0
"435",435,"45272-FLA@SEA","2023-12-12","Florida Panthers","Seattle Kraken",0,4,0,0,0,0,0,0,0,0
"436",436,"45272-PHI@NSH","2023-12-12","Philadelphia Flyers","Nashville Predators",2,2,0,0,0,0,0,1,0,0
"437",437,"45272-TB@VAN","2023-12-12","Tampa Bay Lightning","Vancouver Canucks",1,3,0,1,0,0,0,0,0,0
"438",438,"45272-TOR@NYR","2023-12-12","Toronto Maple Leafs","New York Rangers",6,2,0,1,1,0,0,0,0,0
"439",439,"45272-WPG@SJ","2023-12-12","Winnipeg Jets","San Jose Sharks",1,1,0,1,0,0,0,0,0,0
"440",440,"45273-ANA@NYI","2023-12-13","Anaheim Ducks","New York Islanders",2,2,0,1,1,1,0,0,0,0
"441",441,"45273-BOS@NJ","2023-12-13","Boston Bruins","New Jersey Devils",1,1,0,0,0,0,0,1,0,0
"442",442,"45273-BUF@COL","2023-12-13","Buffalo Sabres","Colorado Avalanche",1,4,0,1,0,0,0,0,0,0
"443",443,"45273-PIT@MTL","2023-12-13","Pittsburgh Penguins","Montreal Canadiens",1,2,0,1,2,0,0,0,1,0
"444",444,"45273-WPG@LA","2023-12-13","Winnipeg Jets","Los Angeles Kings",5,1,0,1,0,0,0,0,0,0
"445",445,"45274-CAR@DET","2023-12-14","Carolina Hurricanes","Detroit Red Wings",2,1,0,0,0,0,0,0,0,0
"446",446,"45274-CBJ@TOR","2023-12-14","Columbus Blue Jackets","Toronto Maple Leafs",4,4,0,1,1,0,1,0,0,0
"447",447,"45274-CGY@MIN","2023-12-14","Calgary Flames","Minnesota Wild",0,2,1,0,1,0,0,0,0,1
"448",448,"45274-CHI@SEA","2023-12-14","Chicago Blackhawks","Seattle Kraken",1,6,0,1,0,0,0,0,0,0
"449",449,"45274-FLA@VAN","2023-12-14","Florida Panthers","Vancouver Canucks",0,3,0,1,0,0,0,0,0,0
"450",450,"45274-OTT@STL","2023-12-14","Ottawa Senators","St. Louis Blues",2,4,0,0,0,0,0,0,0,0
"451",451,"45274-TB@EDM","2023-12-14","Tampa Bay Lightning","Edmonton Oilers",6,1,0,2,1,1,0,0,0,0
"452",452,"45274-WSH@PHI","2023-12-14","Washington Capitals","Philadelphia Flyers",2,3,0,0,1,0,0,0,0,1
"453",453,"45275-ANA@NYR","2023-12-15","Anaheim Ducks","New York Rangers",1,3,0,2,0,0,0,0,0,0
"454",454,"45275-BOS@NYI","2023-12-15","Boston Bruins","New York Islanders",1,2,0,2,3,0,0,0,1,0
"455",455,"45275-BUF@VGS","2023-12-15","Buffalo Sabres","Vegas Golden Knights",5,1,0,1,0,0,0,0,0,0
"456",456,"45275-NSH@CAR","2023-12-15","Nashville Predators","Carolina Hurricanes",4,3,0,2,1,0,1,0,0,0
"457",457,"45275-OTT@DAL","2023-12-15","Ottawa Senators","Dallas Stars",4,3,0,1,0,1,0,0,0,0
"458",458,"45275-SJ@ARI","2023-12-15","San Jose Sharks","Arizona Coyotes",0,1,0,0,0,0,0,0,0,0
"459",459,"45276-BUF@ARI","2023-12-16","Buffalo Sabres","Arizona Coyotes",0,2,0,0,0,0,0,0,0,0
"460",460,"45276-COL@WPG","2023-12-16","Colorado Avalanche","Winnipeg Jets",1,5,0,1,1,0,0,0,0,0
"461",461,"45276-DAL@STL","2023-12-16","Dallas Stars","St. Louis Blues",3,2,0,1,0,0,0,1,0,0
"462",462,"45276-DET@PHI","2023-12-16","Detroit Red Wings","Philadelphia Flyers",0,1,0,0,0,0,0,0,0,0
"463",463,"45276-FLA@EDM","2023-12-16","Florida Panthers","Edmonton Oilers",4,1,0,0,1,0,0,0,0,0
"464",464,"45276-LA@SEA","2023-12-16","Los Angeles Kings","Seattle Kraken",1,1,0,1,1,0,0,0,1,0
"465",465,"45276-NJ@CBJ","2023-12-16","New Jersey Devils","Columbus Blue Jackets",5,2,0,1,1,0,0,0,0,0
"466",466,"45276-NYI@MTL","2023-12-16","New York Islanders","Montreal Canadiens",2,5,1,0,0,0,0,0,0,0
"467",467,"45276-NYR@BOS","2023-12-16","New York Rangers","Boston Bruins",0,1,0,0,1,0,1,0,0,0
"468",468,"45276-PIT@TOR","2023-12-16","Pittsburgh Penguins","Toronto Maple Leafs",0,5,0,2,0,0,0,0,0,0
"469",469,"45276-TB@CGY","2023-12-16","Tampa Bay Lightning","Calgary Flames",1,4,0,0,1,0,0,0,0,0
"470",470,"45276-VAN@MIN","2023-12-16","Vancouver Canucks","Minnesota Wild",1,1,0,0,0,0,0,0,0,1
"471",471,"45276-WSH@NSH","2023-12-16","Washington Capitals","Nashville Predators",0,2,0,1,1,0,0,0,0,0
"472",472,"45277-ANA@NJ","2023-12-17","Anaheim Ducks","New Jersey Devils",3,1,1,0,1,0,0,0,0,0
"473",473,"45277-OTT@VGS","2023-12-17","Ottawa Senators","Vegas Golden Knights",1,3,0,2,2,1,0,0,0,0
"474",474,"45277-SJ@COL","2023-12-17","San Jose Sharks","Colorado Avalanche",0,4,0,2,2,0,0,0,0,0
"475",475,"45277-VAN@CHI","2023-12-17","Vancouver Canucks","Chicago Blackhawks",3,1,0,2,1,0,0,0,0,0
"476",476,"45277-WSH@CAR","2023-12-17","Washington Capitals","Carolina Hurricanes",1,1,0,0,0,0,0,0,1,0
"477",477,"45278-ANA@DET","2023-12-18","Anaheim Ducks","Detroit Red Wings",3,1,0,2,1,0,0,0,0,0
"478",478,"45278-FLA@CGY","2023-12-18","Florida Panthers","Calgary Flames",0,1,0,0,1,2,0,0,0,0
"479",479,"45278-MIN@PIT","2023-12-18","Minnesota Wild","Pittsburgh Penguins",3,2,0,2,0,0,0,0,0,0
"480",480,"45278-MTL@WPG","2023-12-18","Montreal Canadiens","Winnipeg Jets",1,2,0,0,1,0,1,0,0,0
"481",481,"45278-SEA@DAL","2023-12-18","Seattle Kraken","Dallas Stars",3,3,0,0,0,0,0,1,0,0
"482",482,"45279-CBJ@BUF","2023-12-19","Columbus Blue Jackets","Buffalo Sabres",8,3,0,1,1,0,0,0,0,0
"483",483,"45279-COL@CHI","2023-12-19","Colorado Avalanche","Chicago Blackhawks",0,2,0,1,2,0,0,0,0,0
"484",484,"45279-EDM@NYI","2023-12-19","Edmonton Oilers","New York Islanders",1,0,0,2,0,1,0,0,0,0
"485",485,"45279-LA@SJ","2023-12-19","Los Angeles Kings","San Jose Sharks",2,0,1,1,1,0,0,0,0,0
"486",486,"45279-MIN@BOS","2023-12-19","Minnesota Wild","Boston Bruins",2,2,0,1,1,0,1,0,0,0
"487",487,"45279-NYR@TOR","2023-12-19","New York Rangers","Toronto Maple Leafs",3,2,0,0,2,0,0,0,0,0
"488",488,"45279-OTT@ARI","2023-12-19","Ottawa Senators","Arizona Coyotes",2,4,0,0,1,0,0,0,0,0
"489",489,"45279-PHI@NJ","2023-12-19","Philadelphia Flyers","New Jersey Devils",2,1,0,1,0,0,1,0,0,0
"490",490,"45279-STL@TB","2023-12-19","St. Louis Blues","Tampa Bay Lightning",0,5,0,1,1,0,0,0,0,0
"491",491,"45279-VAN@NSH","2023-12-19","Vancouver Canucks","Nashville Predators",5,2,0,0,0,0,0,0,0,0
"492",492,"45279-VGS@CAR","2023-12-19","Vegas Golden Knights","Carolina Hurricanes",3,3,0,3,0,0,0,0,0,0
"493",493,"45280-DET@WPG","2023-12-20","Detroit Red Wings","Winnipeg Jets",2,5,0,0,0,0,0,0,0,0
"494",494,"45280-NYI@WSH","2023-12-20","New York Islanders","Washington Capitals",2,2,0,0,0,0,0,1,0,0
"495",495,"45280-SEA@LA","2023-12-20","Seattle Kraken","Los Angeles Kings",2,0,0,0,0,1,0,0,0,0
"496",496,"45281-ARI@SJ","2023-12-21","Arizona Coyotes","San Jose Sharks",4,2,0,0,1,0,0,0,0,0
"497",497,"45281-CAR@PIT","2023-12-21","Carolina Hurricanes","Pittsburgh Penguins",1,1,0,0,0,0,0,0,0,1
"498",498,"45281-CGY@ANA","2023-12-21","Calgary Flames","Anaheim Ducks",2,0,0,0,1,0,0,0,0,0
"499",499,"45281-EDM@NJ","2023-12-21","Edmonton Oilers","New Jersey Devils",6,3,0,0,0,0,0,0,0,0
"500",500,"45281-MTL@MIN","2023-12-21","Montreal Canadiens","Minnesota Wild",2,1,0,2,1,0,0,1,0,0
"501",501,"45281-NSH@PHI","2023-12-21","Nashville Predators","Philadelphia Flyers",3,1,1,1,0,0,0,0,0,0
"502",502,"45281-OTT@COL","2023-12-21","Ottawa Senators","Colorado Avalanche",3,2,0,4,1,0,0,0,0,0
"503",503,"45281-STL@FLA","2023-12-21","St. Louis Blues","Florida Panthers",4,1,0,0,0,0,0,0,0,0
"504",504,"45281-TOR@BUF","2023-12-21","Toronto Maple Leafs","Buffalo Sabres",1,7,1,1,1,1,0,0,0,0
"505",505,"45281-VAN@DAL","2023-12-21","Vancouver Canucks","Dallas Stars",3,3,0,0,0,0,0,1,0,0
"506",506,"45281-VGS@TB","2023-12-21","Vegas Golden Knights","Tampa Bay Lightning",3,3,0,2,1,0,0,0,0,0
"507",507,"45281-WSH@CBJ","2023-12-21","Washington Capitals","Columbus Blue Jackets",1,2,0,0,1,0,1,0,0,0
"508",508,"45282-BOS@WPG","2023-12-22","Boston Bruins","Winnipeg Jets",1,3,0,2,0,0,0,0,0,0
"509",509,"45282-EDM@NYR","2023-12-22","Edmonton Oilers","New York Rangers",4,2,0,1,0,0,0,0,0,0
"510",510,"45282-MTL@CHI","2023-12-22","Montreal Canadiens","Chicago Blackhawks",5,2,0,0,0,0,0,0,0,0
"511",511,"45282-PHI@DET","2023-12-22","Philadelphia Flyers","Detroit Red Wings",6,5,0,1,0,0,0,0,0,1
"512",512,"45283-ARI@COL","2023-12-23","Arizona Coyotes","Colorado Avalanche",0,4,0,0,1,0,0,0,0,0
"513",513,"45283-BOS@MIN","2023-12-23","Boston Bruins","Minnesota Wild",1,2,0,1,1,0,0,0,0,0
"514",514,"45283-BUF@NYR","2023-12-23","Buffalo Sabres","New York Rangers",3,2,0,1,0,0,0,1,0,0
"515",515,"45283-CGY@LA","2023-12-23","Calgary Flames","Los Angeles Kings",1,5,1,0,1,0,0,0,0,0
"516",516,"45283-CHI@STL","2023-12-23","Chicago Blackhawks","St. Louis Blues",3,5,1,2,1,0,0,0,0,0
"517",517,"45283-DAL@NSH","2023-12-23","Dallas Stars","Nashville Predators",3,1,0,1,0,0,0,0,0,0
"518",518,"45283-DET@NJ","2023-12-23","Detroit Red Wings","New Jersey Devils",2,3,0,0,0,0,0,0,0,0
"519",519,"45283-NYI@CAR","2023-12-23","New York Islanders","Carolina Hurricanes",5,2,0,2,0,0,0,0,0,0
"520",520,"45283-PIT@OTT","2023-12-23","Pittsburgh Penguins","Ottawa Senators",3,4,0,0,1,0,0,1,0,0
"521",521,"45283-SEA@ANA","2023-12-23","Seattle Kraken","Anaheim Ducks",2,1,0,1,1,0,0,0,0,0
"522",522,"45283-SJ@VAN","2023-12-23","San Jose Sharks","Vancouver Canucks",4,6,0,1,0,0,0,0,0,0
"523",523,"45283-TB@WSH","2023-12-23","Tampa Bay Lightning","Washington Capitals",1,1,0,0,0,0,0,0,1,0
"524",524,"45283-TOR@CBJ","2023-12-23","Toronto Maple Leafs","Columbus Blue Jackets",2,1,1,0,1,0,0,0,0,0
"525",525,"45283-VGS@FLA","2023-12-23","Vegas Golden Knights","Florida Panthers",2,2,0,2,0,0,0,0,0,0
"526",526,"45287-BOS@BUF","2023-12-27","Boston Bruins","Buffalo Sabres",1,1,0,0,3,0,0,0,0,0
"527",527,"45287-CAR@NSH","2023-12-27","Carolina Hurricanes","Nashville Predators",2,1,0,1,3,0,0,0,0,0
"528",528,"45287-CBJ@NJ","2023-12-27","Columbus Blue Jackets","New Jersey Devils",3,3,0,0,0,0,0,1,0,0
"529",529,"45287-COL@ARI","2023-12-27","Colorado Avalanche","Arizona Coyotes",2,4,0,0,2,0,0,1,0,0
"530",530,"45287-DAL@STL","2023-12-27","Dallas Stars","St. Louis Blues",1,2,0,0,0,0,0,0,0,0
"531",531,"45287-DET@MIN","2023-12-27","Detroit Red Wings","Minnesota Wild",2,6,0,0,1,0,0,0,0,0
"532",532,"45287-FLA@TB","2023-12-27","Florida Panthers","Tampa Bay Lightning",2,2,1,0,0,0,0,0,0,0
"533",533,"45287-OTT@TOR","2023-12-27","Ottawa Senators","Toronto Maple Leafs",3,2,1,0,0,0,0,0,0,0
"534",534,"45287-PIT@NYI","2023-12-27","Pittsburgh Penguins","New York Islanders",7,0,0,0,0,0,0,0,0,0
"535",535,"45287-SEA@CGY","2023-12-27","Seattle Kraken","Calgary Flames",2,0,0,1,0,0,0,0,0,0
"536",536,"45287-SJ@LA","2023-12-27","San Jose Sharks","Los Angeles Kings",1,5,0,0,0,0,0,0,0,0
"537",537,"45287-VGS@ANA","2023-12-27","Vegas Golden Knights","Anaheim Ducks",1,5,0,0,1,0,0,0,0,0
"538",538,"45287-WPG@CHI","2023-12-27","Winnipeg Jets","Chicago Blackhawks",1,1,0,0,0,0,0,1,0,0
"539",539,"45287-WSH@NYR","2023-12-27","Washington Capitals","New York Rangers",1,4,0,1,0,0,0,0,0,0
"540",540,"45288-EDM@SJ","2023-12-28","Edmonton Oilers","San Jose Sharks",5,0,0,0,0,0,0,0,0,0
"541",541,"45288-LA@VGS","2023-12-28","Los Angeles Kings","Vegas Golden Knights",2,3,0,0,0,0,0,0,0,0
"542",542,"45288-MTL@CAR","2023-12-28","Montreal Canadiens","Carolina Hurricanes",2,4,0,1,1,0,0,0,0,0
"543",543,"45288-PHI@VAN","2023-12-28","Philadelphia Flyers","Vancouver Canucks",2,1,1,0,1,0,0,0,0,0
"544",544,"45289-ARI@ANA","2023-12-29","Arizona Coyotes","Anaheim Ducks",1,0,0,0,1,0,0,0,0,0
"545",545,"45289-CHI@DAL","2023-12-29","Chicago Blackhawks","Dallas Stars",3,3,0,1,1,0,0,1,0,0
"546",546,"45289-COL@STL","2023-12-29","Colorado Avalanche","St. Louis Blues",2,0,0,0,0,1,0,0,0,0
"547",547,"45289-NJ@OTT","2023-12-29","New Jersey Devils","Ottawa Senators",4,2,0,0,2,0,0,0,0,0
"548",548,"45289-NSH@DET","2023-12-29","Nashville Predators","Detroit Red Wings",3,3,1,0,0,1,0,1,0,0
"549",549,"45289-NYR@FLA","2023-12-29","New York Rangers","Florida Panthers",2,3,1,1,0,0,0,0,0,0
"550",550,"45289-PHI@SEA","2023-12-29","Philadelphia Flyers","Seattle Kraken",0,0,1,1,0,0,0,1,0,0
"551",551,"45289-TOR@CBJ","2023-12-29","Toronto Maple Leafs","Columbus Blue Jackets",3,4,0,1,2,0,0,1,0,0
"552",552,"45289-WSH@NYI","2023-12-29","Washington Capitals","New York Islanders",1,5,0,0,0,0,0,0,0,0
"553",553,"45290-CAR@TOR","2023-12-30","Carolina Hurricanes","Toronto Maple Leafs",1,2,0,0,2,0,0,0,0,0
"554",554,"45290-CBJ@BUF","2023-12-30","Columbus Blue Jackets","Buffalo Sabres",2,2,0,0,0,0,0,1,0,0
"555",555,"45290-EDM@LA","2023-12-30","Edmonton Oilers","Los Angeles Kings",1,1,0,1,1,0,0,0,1,0
"556",556,"45290-MIN@WPG","2023-12-30","Minnesota Wild","Winnipeg Jets",1,4,0,0,1,0,0,0,0,0
"557",557,"45290-MTL@FLA","2023-12-30","Montreal Canadiens","Florida Panthers",0,2,0,2,1,0,0,0,0,0
"558",558,"45290-NJ@BOS","2023-12-30","New Jersey Devils","Boston Bruins",1,3,0,2,1,0,0,0,0,0
"559",559,"45290-NSH@WSH","2023-12-30","Nashville Predators","Washington Capitals",1,2,0,0,1,0,0,0,1,0
"560",560,"45290-NYR@TB","2023-12-30","New York Rangers","Tampa Bay Lightning",4,0,0,1,1,0,0,0,0,0
"561",561,"45290-STL@PIT","2023-12-30","St. Louis Blues","Pittsburgh Penguins",1,3,0,1,1,0,0,0,0,0
"562",562,"45291-BOS@DET","2023-12-31","Boston Bruins","Detroit Red Wings",5,2,0,1,0,0,0,0,0,0
"563",563,"45291-BUF@OTT","2023-12-31","Buffalo Sabres","Ottawa Senators",1,4,0,1,0,0,0,0,0,0
"564",564,"45291-CHI@DAL","2023-12-31","Chicago Blackhawks","Dallas Stars",0,7,0,1,1,0,0,0,0,0
"565",565,"45291-EDM@ANA","2023-12-31","Edmonton Oilers","Anaheim Ducks",7,2,0,0,0,0,0,0,0,0
"566",566,"45291-MTL@TB","2023-12-31","Montreal Canadiens","Tampa Bay Lightning",3,4,0,0,0,0,0,0,0,0
"567",567,"45291-NYI@PIT","2023-12-31","New York Islanders","Pittsburgh Penguins",1,3,0,0,0,0,0,0,0,0
"568",568,"45291-PHI@CGY","2023-12-31","Philadelphia Flyers","Calgary Flames",3,4,0,0,0,0,0,0,0,0
"569",569,"45291-SJ@COL","2023-12-31","San Jose Sharks","Colorado Avalanche",0,1,0,1,1,1,0,0,0,0
"570",570,"45291-WPG@MIN","2023-12-31","Winnipeg Jets","Minnesota Wild",2,1,0,1,1,0,0,0,0,0
"571",571,"45292-VGS@SEA","2024-01-01","Vegas Golden Knights","Seattle Kraken",0,3,0,0,0,0,0,0,0,0
"572",572,"45293-BOS@CBJ","2024-01-02","Boston Bruins","Columbus Blue Jackets",3,1,0,0,1,0,0,0,0,0
"573",573,"45293-CAR@NYR","2024-01-02","Carolina Hurricanes","New York Rangers",4,1,0,0,2,0,0,0,0,0
"574",574,"45293-CGY@MIN","2024-01-02","Calgary Flames","Minnesota Wild",3,1,0,0,0,0,0,0,0,0
"575",575,"45293-CHI@NSH","2024-01-02","Chicago Blackhawks","Nashville Predators",0,1,0,2,0,0,0,0,0,0
"576",576,"45293-DET@SJ","2024-01-02","Detroit Red Wings","San Jose Sharks",3,3,0,0,2,0,0,0,0,0
"577",577,"45293-FLA@ARI","2024-01-02","Florida Panthers","Arizona Coyotes",3,0,0,0,1,1,0,0,0,0
"578",578,"45293-MTL@DAL","2024-01-02","Montreal Canadiens","Dallas Stars",3,3,0,0,1,0,0,0,0,0
"579",579,"45293-NYI@COL","2024-01-02","New York Islanders","Colorado Avalanche",3,3,0,1,1,0,0,1,0,0
"580",580,"45293-OTT@VAN","2024-01-02","Ottawa Senators","Vancouver Canucks",3,5,0,1,0,0,0,0,0,0
"581",581,"45293-PHI@EDM","2024-01-02","Philadelphia Flyers","Edmonton Oilers",2,4,0,1,0,0,0,0,0,0
"582",582,"45293-TB@WPG","2024-01-02","Tampa Bay Lightning","Winnipeg Jets",0,4,0,0,2,0,0,0,0,0
"583",583,"45293-TOR@LA","2024-01-02","Toronto Maple Leafs","Los Angeles Kings",3,0,0,0,0,0,0,0,0,0
"584",584,"45293-WSH@PIT","2024-01-02","Washington Capitals","Pittsburgh Penguins",3,2,0,1,1,0,0,0,0,0
