"","X","gameID","date","away_team","home_team","away_even","home_even","away_powerplay","home_powerplay","away_shorthanded","home_shorthanded","away_OT","home_OT","away_SO","home_SO"
"208",208,"45240-SJ@VGS","2023-11-10","San Jose Sharks","Vegas Golden Knights",0,4,0,0,0,1,0,0,0,0
"209",209,"45240-WSH@NJ","2023-11-10","Washington Capitals","New Jersey Devils",4,2,0,0,0,0,0,0,0,0
"210",210,"45241-ARI@NSH","2023-11-11","Arizona Coyotes","Nashville Predators",5,4,0,1,2,0,0,0,0,0
"211",211,"45241-BOS@MTL","2023-11-11","Boston Bruins","Montreal Canadiens",1,1,0,1,1,0,0,1,0,0
"212",212,"45241-BUF@PIT","2023-11-11","Buffalo Sabres","Pittsburgh Penguins",0,3,0,1,0,0,0,0,0,0
"213",213,"45241-CAR@TB","2023-11-11","Carolina Hurricanes","Tampa Bay Lightning",3,0,0,0,1,0,0,0,0,0
"214",214,"45241-CBJ@DET","2023-11-11","Columbus Blue Jackets","Detroit Red Wings",4,5,0,0,0,0,0,0,0,0
"215",215,"45241-CGY@OTT","2023-11-11","Calgary Flames","Ottawa Senators",1,3,0,1,0,0,0,0,0,0
"216",216,"45241-DAL@WPG","2023-11-11","Dallas Stars","Winnipeg Jets",1,2,1,0,1,0,0,0,0,0
"217",217,"45241-EDM@SEA","2023-11-11","Edmonton Oilers","Seattle Kraken",3,0,0,1,1,0,0,0,0,0
"218",218,"45241-PHI@LA","2023-11-11","Philadelphia Flyers","Los Angeles Kings",4,2,0,0,0,0,0,0,0,0
"219",219,"45241-STL@COL","2023-11-11","St. Louis Blues","Colorado Avalanche",4,2,2,0,2,0,0,0,0,0
"220",220,"45241-VAN@TOR","2023-11-11","Vancouver Canucks","Toronto Maple Leafs",0,5,0,0,2,0,0,0,0,0
"221",221,"45241-WSH@NYI","2023-11-11","Washington Capitals","New York Islanders",4,1,0,0,0,0,0,0,0,0
"222",222,"45242-CBJ@NYR","2023-11-12","Columbus Blue Jackets","New York Rangers",3,3,0,0,0,0,0,0,0,1
"223",223,"45242-CHI@FLA","2023-11-12","Chicago Blackhawks","Florida Panthers",3,2,0,2,0,0,0,0,0,0
"224",224,"45242-DAL@MIN","2023-11-12","Dallas Stars","Minnesota Wild",1,2,2,1,5,0,0,0,0,0
