"","team","home_points","home_goals.scored","home_goals.conceded","home_xg.for","home_xg.against","away_points","away_goals.scored","away_goals.conceded","away_xg.for","away_xg.against","total_goals.scored","total_goals.conceded","goals_scored.2019","goals_against.2019","xg_for.2019","xg_against.2019","points.2019","average_points","total_xg.for","total_xg.against","year","goals_scored.2020","goals_against.2020","xg_for.2020","xg_against.2020","points.2020","goals_scored.2021","goals_against.2021","xg_for.2021","xg_against.2021","points.2021","goals_scored.2022","goals_against.2022","xg_for.2022","xg_against.2022","points.2022","goals_scored.2023","goals_against.2023","xg_for.2023","xg_against.2023","points.2023"
"1","Atalanta",35,1.89473684210526,1,1.94210526315789,0.768421052631579,34,2.15789473684211,1.42105263157895,1.86842105263158,1.41052631578947,4.05263157894737,2.42105263157895,2.02631578947368,1.21052631578947,1.90526315789474,1.08947368421053,69,1.81578947368421,3.81052631578947,2.17894736842105,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bologna",31,1.47368421052632,1.15789473684211,1.31578947368421,1.08947368421053,13,1.05263157894737,1.78947368421053,1.14736842105263,1.49473684210526,2.52631578947368,2.94736842105263,1.26315789473684,1.47368421052632,1.23157894736842,1.29210526315789,44,1.15789473684211,2.46315789473684,2.58421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cagliari",30,1.21052631578947,1.05263157894737,1.37894736842105,1.27368421052632,11,0.68421052631579,1.78947368421053,0.836842105263158,1.98421052631579,1.89473684210526,2.8421052631579,0.947368421052632,1.42105263157895,1.10789473684211,1.62894736842105,41,1.07894736842105,2.21578947368421,3.2578947368421,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chievo",10,0.736842105263158,1.94736842105263,0.957894736842105,1.38421052631579,10,0.578947368421053,2,0.936842105263158,1.8,1.31578947368421,3.94736842105263,0.657894736842105,1.97368421052632,0.947368421052632,1.59210526315789,20,0.526315789473684,1.89473684210526,3.18421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Empoli",30,1.73684210526316,1.57894736842105,1.64736842105263,1.68421052631579,8,0.947368421052632,2.10526315789474,1.1,1.68421052631579,2.68421052631579,3.68421052631579,1.34210526315789,1.84210526315789,1.37368421052632,1.68421052631579,38,1,2.74736842105263,3.36842105263158,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fiorentina",24,1.31578947368421,1,1.43157894736842,0.989473684210526,17,1.15789473684211,1.36842105263158,1.40526315789474,1.15789473684211,2.47368421052632,2.36842105263158,1.23684210526316,1.18421052631579,1.41842105263158,1.07368421052632,41,1.07894736842105,2.83684210526316,2.14736842105263,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Frosinone",9,0.736842105263158,2,1.13157894736842,1.67368421052632,16,0.789473684210526,1.63157894736842,0.905263157894737,1.58947368421053,1.52631578947368,3.63157894736842,0.763157894736842,1.81578947368421,1.01842105263158,1.63157894736842,25,0.657894736842105,2.03684210526316,3.26315789473684,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Genoa",26,1.10526315789474,1.15789473684211,1.33684210526316,1.12105263157895,12,0.947368421052632,1.84210526315789,1.13684210526316,1.67894736842105,2.05263157894737,3,1.02631578947368,1.5,1.23684210526316,1.4,38,1,2.47368421052632,2.8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter",38,1.42105263157895,0.526315789473684,1.60526315789474,0.78421052631579,31,1.57894736842105,1.21052631578947,1.75263157894737,1.21052631578947,3,1.73684210526316,1.5,0.868421052631579,1.67894736842105,0.997368421052632,69,1.81578947368421,3.35789473684211,1.99473684210526,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Juventus",49,2.05263157894737,0.68421052631579,1.76315789473684,0.836842105263158,41,1.63157894736842,0.894736842105263,1.43157894736842,1.03684210526316,3.68421052631579,1.57894736842105,1.84210526315789,0.789473684210526,1.59736842105263,0.936842105263158,90,2.36842105263158,3.19473684210526,1.87368421052632,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
